Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
"Conservation biology of the marsh fritillary butterfly Euphydryas aurinia","Bulman, Caroline Rose",,="edsble",,="2001",,,,,"edsble.394690",,"University of Leeds","Electronic Thesis or Dissertation","591.7",,"The conservation biology of Euphydryas aurinia was investigated, analysing its metapopulation dynamics, interactions with parasitoids and the efficacy of habitat restoration. Euphydryas aurinia has undergone a widespread national decline in recent years. This decline is quantified at a 10km scale. The distribution in 2020 was predicted for E. aurinia from the 1995-99 distribution, assuming that the current causes and pattern of decline continued. The predicted distribution in 2020 represented a 48% loss in 10km grid square records, with only the core regions surviving. The distribution and persistence of the butterfly was quantified at a regional scale in one, intensively studied area (25km by 25km) in Dorset (England, UK). The metapopulation approach was useful in understanding the occupancy pattern and persistence of E. aurinia within this landscape. The probability of patch occupancy increased with patch connectivity (isolated patches were less likely to be occupied), vegetation height and resource area (patch area multiplied by host plant cover). Such a pattern was consistent with the interpretation that the butterfly persists as a metapopulation. This supported the use of the Incidence Function Model, as a tool to explore the possible fate of E. aurinia in fragmented landscapes in Dorset and in five pairs of independent networks across the species' range in England and Wales. The threshold network area was predicted to be 7 iha, to achieve a 95% probability of persistence for 100 years, for a network within a 4km by 4km area. However, this figure may actually be an underestimate of the area required, if extinction debt is a reality. Parasitoid attack, principally by Cotesia bignellii, appears to have an effect on the population dynamics of E. aurinia and may help to explain the requirement of E. aurinia for large habitat patches. This preliminary work suggests that the parasitoid also has a metapopulation structure and that it is of equal conservation concern. At a local scale the results suggest that the parasitoid and host may have a shifling disiribution, with the butterfly 'escaping' parasitism in some areas. Habitat restoration and re-creation will be necessary in many networks with insufficient habitat area. Experimental investigation into methods of habitat restoration showed that unsuitable but potential habitat may be restored through cutting twice a year in combination with grazing. Habitat re-creation has been shown to be feasible for agriculturally improved sites, but may be more difficult to achieve due to the higher nutrient status and the competitive interaction of other species with the host plant Succisa pratensis.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsble&AN=edsble.394690&site=eds-live&scope=site&custid=s2775460"
"Modelling the effect of habitat fragmentation on range expansion in a butterfly.","Wilson RJ; Davies ZG; Thomas CD","Proceedings. Biological sciences",="0962-8452",,="2009 Apr 22","276","1661","1421",,"19324812","10.1098/rspb.2008.0724","Royal Society of London","Journal Article","England; Butterflies physiology; Ecosystem; Models, Biological; Population Dynamics; Animals; Conservation of Natural Resources; England",,"There is an increasing need for conservation programmes to make quantitative predictions of biodiversity responses to changed environments. Such predictions will be particularly important to promote species recovery in fragmented landscapes, and to understand and facilitate distribution responses to climate change. Here, we model expansion rates of a test species (a rare butterfly, Hesperia comma) in five landscapes over 18 years (generations), using a metapopulation model (the incidence function model). Expansion rates increased with the area, quality and proximity of habitat patches available for colonization, with predicted expansion rates closely matching observed rates in test landscapes. Habitat fragmentation constrained expansion, but in a predictable way, suggesting that it will prove feasible both to understand variation in expansion rates and to develop conservation programmes to increase rates of range expansion in such species.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=mnh&AN=19324812&site=eds-live&scope=site&custid=s2775460"
"Metapopulation Viability Analysis Using Occupancy Models","Per Sjögren-Gulve; Ilkka Hanski","Ecological Bulletins",="03466868",,="2000",,"48","53",,"edsjsr.20113248",,"Munksgaard International Publishers Ltd.","research-article","Metapopulation ecology; Habitat conservation; Modeling; Ecological modeling; Species extinction; Frogs; Ponds; Conservation biology; Spatial models; Population ecology",,"We review the use of patch occupancy metapopulation models for viability analysis of spatially structured populations. These models are parameterized using species presence-absence data from one or more surveys of a habitat patch network. Occupancy models do not include a description of local population dynamics within habitat patches. On the other hand, occupancy models such as the incidence function model and the logistic regression model can incorporate information on the sizes, qualities and spatial locations of habitat patches, and how these patch attributes influence local extinctions and colonizations. For metapopulations in markedly patchy habitats, occupancy models have been used successfully to predict patterns of local extinction and colonization and the persistence of species in patch networks. In such situations, it is doubtful whether more data-intensive and complex demographic models would yield any more reliable predictions than the relatively simple occupancy models. We review the Levins model, the incidence function model and the logistic regression model -- their assumptions, data requirements and types of predictions -- and discuss their advantages and limitations. We also review selected case studies in which these models have been used in conservation assessments.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.20113248&site=eds-live&scope=site&custid=s2775460"
"comparison of metrics predicting landscape connectivity for a highly interactive species along an urban gradient in Colorado, USA","Magle, Seth B.; Theobald, David M.; Crooks, Kevin R.","Landscape ecology",="09212973",,="2009","24","2","267","14","edsagr.US201301587624","10.1007/s10980-008-9304-x","Dordrecht : Springer Netherlands","Article",,,"Includes references","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsagr&AN=edsagr.US201301587624&site=eds-live&scope=site&custid=s2775460"
"Bayesian analysis of metapopulation data","O'Hara, R.B.; Arjas, E.; Toivonen, H.; Hanski, I.","Ecology",="00129658",,="2002","83","9","2408","8","edsgcl.92724469",,"Ecological Society of America","Abstract","Bayesian statistical decision theory -- Usage; Habitat selection -- Environmental aspects; Habitat selection -- Models",,"A Bayesian approach is used to develop a method for fitting a metapopulation model (the incidence function model) to data on habitat patch occupancy, providing estimates of the five model parameters. Parameter estimation is carried out using a Markov chain Monte Carlo sampler, and data augmentation is used to include the effect of missing data in the analysis. The Bayesian approach allows us to take into account uncertainty about the parameter estimates when making predictions with the model. We demonstrate the methods of parameter estimation and prediction with simulated data. We first simulated metapopulation dynamics in real habitat patch networks with given parameter values and sampled the simulated data. Parameters were estimated both from full data sets, and from data sets with data for many ears treated as missing. These estimates were then used to predict the distribution of time to extinction in modified networks, where patch areas had been reduced so that the real parameter values led to metapopulation extinction within ~30 yr. We were successfully able to fit the model and found that, in some cases, the predictions can be sensitive to one of the parameters. Key words: Bayesian inference; data augmentation; habitat patch occupancy; Markov chain Monte Carlo (MCMC); metapopulation model; population viability analyses (PVA).","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsgea&AN=edsgcl.92724469&site=eds-live&scope=site&custid=s2775460"
"Metapopulation persistence of insects living in hollow oaks: effects of adding oaks in the surrounding landscape","Bergman Karl-Olof Ph.D.; Höglund Lars Ph.D.; Linköpings universitet Institutionen för fysik, kemi och biologi; Gilljam David 1978- , Linköpings universitet, Institutionen för fysik, kemi och biologi",,,,="2009",,,,,"edseur.https:..www.europeana.eu.item.9200111.BibliographicResource.1000085960033?utm.source=api&utm.medium=api&utm.campaign=YuvuWBeCa",,,"TEXT","Student thesis; book",,"<p>The oak district of Östergötland is one of the largest oak forests left in Europe and it harbours many threatened species dependent on old hollow trees. In this study, the saproxylic beetle <em>Osmoderma eremita</em> living in hollow oaks was used as a model species and parameterised for a metapopulation model (the incidence function model) at the level of individual trees. The aim was to set up a number of conservation management scenarios, where new oaks were added to increase the quality of the matrix and then simulate the resulting metapopulation occupancy, using three levels of dispersal. A real data set of hollow oaks was used as the base for modeling. Oaks were added to cells in a lattice covering the study landscape, where cell size, cell position and numbers of oaks per hectare were varied. The results show that a larger area of added oaks and a greater number of oaks per hectare will give a higher increase in total occupancy, no matter the dispersal, but the second smallest cell size used (3.4 km2 ) will give the highest response per effort for medium and high dispersal abilities, and smaller cells with greater number of oaks per area can be more effective. The spatial position of the increase in occupancy differs depending on dispersal ability of the focal species and should be considered in conservation management work. For unoccupied cells, the effort required to get the cell occupied will be smaller for cells having a greater number of oaks.</p>","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edseur&AN=edseur.https%3a..www.europeana.eu.item.9200111.BibliographicResource.1000085960033%3futm.source%3dapi%26utm.medium%3dapi%26utm.campaign%3dYuvuWBeCa&site=eds-live&scope=site&custid=s2775460"
"Digital Comprehensive Summaries of Uppsala Dissertations from the Faculty of Science and TechnologyImpact of Geographical and Environmental Structures on Habitat Choice, Metapopulation Dynamics and Genetic Structure for Hazel Grouse (Bonasa bonasia)","Höglund Jacob Pofessor; Rapaport Eric Professor; Pyykönen Markku Research engineer; Swenson Jon Professor; Uppsala universitet Teknisk-naturvetenskapliga vetenskapsområdet Teknisk-naturvetenskapliga fakulteten Biologiska sektionen Institutionen för ekologi och evolution; Sahlsten Jonas 1968- , Uppsala universitet, Institutionen för ekologi och evolution",,,,="2007",,,,,"edseur.https:..www.europeana.eu.item.9200111.BibliographicResource.1000085949726?utm.source=api&utm.medium=api&utm.campaign=YuvuWBeCa",,,"TEXT","Other academic; Doctoral thesis, comprehensive summary; dissertation",,"<p>In this work suitable habitats for hazel grouse (Bonasa bonasia) were identified using ecological niche factor analysis (ENFA). The results from ENFA reveal that hazel grouse utilize a different and more restricted niche than what is generally available in the study area. When a landscape is fragmented the amount of edge increases, which is negative for many species and thus will affect the amount of available area. The perimeter-area ratio was used to analyze the relative importance of geometric shape. In order to estimate a correlation between incidence of hazel grouse and landscape features census data and land cover maps were analyzed with logistic regression models. It is concluded that hazel grouse is tied to coniferous forest and avoid open areas. However, the result indicates that there is a scale effect that should be considered. The amount of edge in a landscape seems to be important and shape of patches could be a better measure in metapopulation dynamics. In this study the Incidence function model was used to estimate occupancy levels and capacity of a landscape to sustain a metapopulation according to four different area measurement scenarios. Results from the simulations indicate that perimeter-area related measures of patch size combined with capacity could be a more important measure for estimation of population dynamics compared to a basic area measurement. Using a landscape genetic approach, hazel grouse genetic structure, neighbourhood size and dispersal distance were estimated. Genetic estimates of dispersal were in concordance with previous ecological estimates. The results indicate evidence of a population structure reminiscent of what has been found in many other Scandinavian animals with a basic north-south divide. No evidence was found that geographic and environmental structures affected gene flow and dispersal patterns for the hazel grouse.</p>","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edseur&AN=edseur.https%3a..www.europeana.eu.item.9200111.BibliographicResource.1000085949726%3futm.source%3dapi%26utm.medium%3dapi%26utm.campaign%3dYuvuWBeCa&site=eds-live&scope=site&custid=s2775460"
"基于物元模型的土地整理经济效益评价","田劲松 过家春 刘琳 张庆国","水土保持通报 / Bulletin of Soil and Water Conservation",="1000288X",,="2012","32","5","107",,"edscqv.43810641",,,"Article","土地整理; 可拓学; 物元; 经济效益; 关联函数; land consolidation; extenics; matter-element; economic benefit; connection function",,"土地整理经济效益分析是土地整理的一项重要内容。把可拓学理论和方法应用到土地整理工程中,建立土地整理经济效益经典域物元、节域物元和待评物元模型,借助可拓方法中距,建立了关联函数模型;通过简单关联函数计算指标的权重值,建立各指标与标准等级的综合关联度模型,将关联度值进行加权处理,得到加权关联度值,并进行规范化处理,得到综合关联度值,然后计算出评价等级值。将该方法应用到实际项目中,计算该项目的经济效益等级值为2.204,属于＂良好＂级别。实例研究证明,基于可拓学的理论和方法建立土地整理项目经济效益评价模型具有科学性和可操作性,拓展了土地整理项目效益评价方法体系,取得了良好的效果。 / Analysis of the economic benefits of land consolidation is an important content of land consolidation.With an attempt to apply extension theory and method to land arrangement project,the models of classical field matter element,controlled filed matter element and evaluation matter element are constructed for the economic benefits of land consolidation.The incidence function model is also established using the extension method of distance.A comprehensive correlation degree model for evaluation index and standard grade is then established based on the simple correlation function calculation of index weights.Finally,weighted processing is adopted for the correlation values and a series of weighted correlation values are obtained.The weighted correlation values are normalized to get average correlation values.When the method is applied to the actual project,the grade for the calculated economic benefits is 2.204,being in a ＂good＂ level.The research proves the scientific and practical nature of the evaluation model for land arrangement project benefits based on the theory and method of extenics and provides a new approach to the quantitative evaluation of land consolidation economic benefits with a good result.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edscqv&AN=edscqv.43810641&site=eds-live&scope=site&custid=s2775460"
"Conservation biology of the marsh fritillary butterfly Euphydryas aurinia","Bulman, Caroline Rose",,="edsndl",,="2001",,,,,"edsndl.bl.uk.oai.ethos.bl.uk.394690",,"University of Leeds","Electronic Thesis or Dissertation","591.7",,"The conservation biology of Euphydryas aurinia was investigated, analysing its metapopulation dynamics, interactions with parasitoids and the efficacy of habitat restoration. Euphydryas aurinia has undergone a widespread national decline in recent years. This decline is quantified at a 10km scale. The distribution in 2020 was predicted for E. aurinia from the 1995-99 distribution, assuming that the current causes and pattern of decline continued. The predicted distribution in 2020 represented a 48% loss in 10km grid square records, with only the core regions surviving. The distribution and persistence of the butterfly was quantified at a regional scale in one, intensively studied area (25km by 25km) in Dorset (England, UK). The metapopulation approach was useful in understanding the occupancy pattern and persistence of E. aurinia within this landscape. The probability of patch occupancy increased with patch connectivity (isolated patches were less likely to be occupied), vegetation height and resource area (patch area multiplied by host plant cover). Such a pattern was consistent with the interpretation that the butterfly persists as a metapopulation. This supported the use of the Incidence Function Model, as a tool to explore the possible fate of E. aurinia in fragmented landscapes in Dorset and in five pairs of independent networks across the species' range in England and Wales. The threshold network area was predicted to be 7 iha, to achieve a 95% probability of persistence for 100 years, for a network within a 4km by 4km area. However, this figure may actually be an underestimate of the area required, if extinction debt is a reality. Parasitoid attack, principally by Cotesia bignellii, appears to have an effect on the population dynamics of E. aurinia and may help to explain the requirement of E. aurinia for large habitat patches. This preliminary work suggests that the parasitoid also has a metapopulation structure and that it is of equal conservation concern. At a local scale the results suggest that the parasitoid and host may have a shifling disiribution, with the butterfly 'escaping' parasitism in some areas. Habitat restoration and re-creation will be necessary in many networks with insufficient habitat area. Experimental investigation into methods of habitat restoration showed that unsuitable but potential habitat may be restored through cutting twice a year in combination with grazing. Habitat re-creation has been shown to be feasible for agriculturally improved sites, but may be more difficult to achieve due to the higher nutrient status and the competitive interaction of other species with the host plant Succisa pratensis.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsndl&AN=edsndl.bl.uk.oai.ethos.bl.uk.394690&site=eds-live&scope=site&custid=s2775460"
"THE LIMITING BEHAVIOUR OF HANSKPS INCIDENCE FUNCTION METAPOPULATION MODEL","R. MCVINISH; P. K. POLLETT","Journal of Applied Probability",="00219002",,="2014","51","2","297",,"edsjsr.43283339",,"Applied Probability Trust","research-article","Metapopulation ecology; Ecological modeling; Markov chains; Approximation; Recursion; Continuous functions; Habitats; Stochastic models; Determinism; Epidemics",,"Hanski's incidence function model is one of the most widely used metapopulation models in ecology. It models the presence/absence of a species at spatially distinct habitat patches as a discrete-time Markov chain whose transition probabilities are determined by the physical landscape. In this analysis, the limiting behaviour of the model is studied as the number of patches increases and the size of the patches decreases. Two different limiting cases are identified depending on whether or not the metapopulation is initially near extinction. Basic properties of the limiting models are derived.","https://search.ebscohost.com/login.aspx?direct=true&AuthType=sso&db=edsjsr&AN=edsjsr.43283339&site=eds-live&scope=site&custid=s2775460"
